STRD_YYMM,STRD_DATE,WK_CD,TIMC_CD,MER_SIDO_CD,MER_CCG_CD,MER_ADNG_CD,BUZ_LCLS_NM,BUZ_MCLS_NM,BUZ_SCLS_NM,CST_SIDO_CD,CST_CCG_CD,CST_ADNG_CD,SEX_CD,AGE_CD,HOSH_TYP_CD,INCM_NR_CD,AMT,CNT
202311,20231106,1,2,45,03,00872249,서비스업,기타,기타,42,21,45667652,2,30,1,1,229800,2
202305,20230529,1,2,47,21,03561598,요식업,중식,기타,30,12,80801587,1,30,5,4,57200,2
202303,20230329,1,2,41,21,13718432,의료업,기타,기타,36,22,31227217,2,50,1,1,351800,2
202305,20230518,1,2,48,13,20868106,요식업,중식,기타,47,05,04265800,1,50,3,4,90400,2
202310,20231026,1,4,29,17,29587040,교육업,기타,기타,27,25,99529224,2,20,1,4,376400,2
202307,20230717,1,4,11,22,50992980,교육업,기타,기타,28,22,37338125,2,50,2,2,376400,2
202301,20230102,1,3,42,21,60291818,서비스업,기타,기타,31,05,03561598,2,40,4,3,294600,2
202306,20230615,1,4,42,08,99529224,교육업,기타,기타,36,19,32868829,1,40,1,4,476600,4
202303,20230307,1,2,46,07,37338125,교육업,기타,기타,31,23,29345093,1,40,2,5,353000,2
202305,20230507,2,1,36,19,79254564,소매업,기타,기타,11,03,12448137,2,30,5,5,121600,2
202305,20230502,1,2,48,08,56306998,서비스업,기타,기타,46,07,29958839,1,30,2,3,172000,4
202312,20231211,1,3,28,08,73197858,요식업,한식,고기집,31,18,94130245,1,20,2,5,50600,2
202310,20231009,1,3,27,25,56629389,요식업,한식,해장국,30,14,29587040,2,50,5,2,64800,2
202307,20230719,1,2,48,05,73197858,서비스업,기타,기타,42,07,99529224,2,40,4,1,85200,2
202309,20230915,1,4,27,06,36913811,의료업,기타,기타,27,22,56629389,1,60,3,3,162000,2
202302,20230211,2,2,43,08,04265800,교육업,기타,기타,45,05,28898924,2,40,5,5,343600,2
202311,20231115,1,2,50,09,98847494,의료업,기타,기타,44,03,56629389,1,20,4,4,218800,2
202312,20231201,1,4,28,05,04265800,의료업,기타,기타,28,04,12981053,2,30,3,4,325000,2
202311,20231121,1,4,26,03,37295261,서비스업,기타,기타,46,09,03356887,1,50,3,2,145400,4
202310,20231010,1,1,29,18,03356887,교육업,기타,기타,44,19,00872249,1,20,2,5,258600,4
202301,20230121,2,3,44,25,00872249,서비스업,기타,기타,46,20,12981053,1,60,5,9,287800,4
202307,20230731,1,3,46,22,12981053,요식업,중식,기타,36,09,90825068,2,20,5,5,55400,2
